"GameID","GameDate","NumberOfInjuries","SQRTNumberOfInjuries","Week","RestDays","RushYards","PassYards","TotalYards","PointsScored","PercentYardsRush","Surface","CategoriesRestDays"
2023100804,"2023-10-08",7,2.64575131106459,5,13,307,485,792,47,0.387626262626263,"Grass","Normal"
2023100805,"2023-10-08",2,1.4142135623731,5,14,181,279,460,34,0.393478260869565,"Turf","Normal"
2023100806,"2023-10-08",2,1.4142135623731,5,14,212,412,624,27,0.33974358974359,"Grass","Normal"
2023100807,"2023-10-08",3,1.73205080756888,5,14,235,439,674,54,0.3486646884273,"Grass","Normal"
2023100808,"2023-10-08",2,1.4142135623731,5,14,213,490,703,37,0.30298719772404,"Turf","Normal"
2023100809,"2023-10-08",2,1.4142135623731,5,14,373,342,715,52,0.521678321678322,"Grass","Normal"
2023100810,"2023-10-08",5,2.23606797749979,5,14,137,525,662,47,0.206948640483384,"Turf","Normal"
2023100811,"2023-10-08",5,2.23606797749979,5,14,227,391,618,52,0.367313915857605,"Grass","Normal"
2023100900,"2023-10-09",1,1,5,19,206,358,564,30,0.365248226950355,"Grass","Long"
2023101200,"2023-10-12",2,1.4142135623731,6,8,211,375,586,27,0.360068259385666,"Grass","Short"
2023101500,"2023-10-15",5,2.23606797749979,6,14,268,325,593,40,0.451939291736931,"Turf","Normal"
2023101501,"2023-10-15",1,1,6,17,178,417,595,40,0.299159663865546,"Turf","Long"
2023101502,"2023-10-15",6,2.44948974278318,6,17,208,287,495,32,0.42020202020202,"Grass","Long"
2023101503,"2023-10-15",2,1.4142135623731,6,20,133,465,598,30,0.222408026755853,"Turf","Long"
2023101504,"2023-10-15",3,1.73205080756888,6,21,268,281,549,36,0.48816029143898,"Grass","Long"
2023101505,"2023-10-15",4,2,6,14,209,518,727,33,0.28748280605227,"Turf","Normal"
2023101506,"2023-10-15",3,1.73205080756888,6,14,129,458,587,57,0.219761499148211,"Grass","Normal"
2023101507,"2023-10-15",7,2.64575131106459,6,14,270,450,720,63,0.375,"Grass","Normal"
2023101508,"2023-10-15",1,1,6,21,86,545,631,26,0.136291600633914,"Turf","Long"
2023101509,"2023-10-15",11,3.3166247903554,6,13,167,440,607,38,0.275123558484349,"Grass","Normal"
2023101510,"2023-10-15",2,1.4142135623731,6,14,309,418,727,35,0.425034387895461,"Turf","Normal"
2023101511,"2023-10-15",6,2.44948974278318,6,14,169,423,592,34,0.285472972972973,"Turf","Normal"
2023101512,"2023-10-15",4,2,6,14,260,354,614,23,0.423452768729642,"Turf","Normal"
2023101600,"2023-10-16",1,1,6,23,149,465,614,37,0.242671009771987,"Turf","Long"
2023101900,"2023-10-19",5,2.23606797749979,7,8,225,512,737,55,0.305291723202171,"Turf","Short"
2023102200,"2023-10-22",4,2,7,14,230,610,840,44,0.273809523809524,"Grass","Normal"
2023102201,"2023-10-22",4,2,7,14,212,346,558,42,0.379928315412186,"Grass","Normal"
2023102202,"2023-10-22",7,2.64575131106459,7,14,318,454,772,77,0.411917098445596,"Turf","Normal"
2023102203,"2023-10-22",1,1,7,14,177,526,703,54,0.251778093883357,"Turf","Normal"
2023102204,"2023-10-22",3,1.73205080756888,7,14,182,447,629,21,0.289348171701113,"Turf","Normal"
2023102205,"2023-10-22",1,1,7,14,229,501,730,29,0.313698630136986,"Turf","Normal"
2023102206,"2023-10-22",2,1.4142135623731,7,21,221,433,654,41,0.337920489296636,"Turf","Long"
2023102207,"2023-10-22",0,0,7,14,242,325,567,30,0.426807760141093,"Turf","Normal"
2023102208,"2023-10-22",6,2.44948974278318,7,23,282,388,670,36,0.42089552238806,"Grass","Long"
2023102209,"2023-10-22",1,1,7,16,207,634,841,48,0.246135552913199,"Grass","Normal"
2023102210,"2023-10-22",4,2,7,14,144,455,599,48,0.240400667779633,"Grass","Normal"
2023102300,"2023-10-23",6,2.44948974278318,7,16,139,638,777,39,0.178893178893179,"Turf","Normal"
2023102600,"2023-10-26",0,0,8,8,193,536,729,42,0.264746227709191,"Turf","Short"
2023102900,"2023-10-29",2,1.4142135623731,8,28,154,299,453,28,0.339955849889625,"Turf","Long"
2023102901,"2023-10-29",1,1,8,20,194,473,667,63,0.290854572713643,"Turf","Long"
2023102902,"2023-10-29",2,1.4142135623731,8,13,136,480,616,34,0.220779220779221,"Grass","Normal"
2023102903,"2023-10-29",5,2.23606797749979,8,17,325,557,882,65,0.368480725623583,"Turf","Long"
2023102904,"2023-10-29",7,2.64575131106459,8,14,155,453,608,48,0.254934210526316,"Grass","Normal"
2023102905,"2023-10-29",5,2.23606797749979,8,21,261,184,445,23,0.586516853932584,"Turf","Long"
2023102906,"2023-10-29",3,1.73205080756888,8,17,176,462,638,30,0.275862068965517,"Grass","Long"
2023102907,"2023-10-29",5,2.23606797749979,8,21,289,428,717,51,0.403068340306834,"Turf","Long"
